Diagnosis,Specialist,DxGroup
DEHYDRATION OR ELECTROLYTE IMBALANCE,RenalSpecialist,RenalOther
DEHYDRATION/ELECTROLYTE IMBALANCE,RenalSpecialist,RenalOther
DELAYED SLEEP PHASE DISORDER (DSPD),Psychiatrist,InsomniaAndOtherSleepDisorders
DELIRIUM TREMENS,SubstanceUseDisorderSpecialist,AlcoholInducedConditions
DENTAL ANXIETY,Psychiatrist,AnxietyDisorders
DENTAL CALCULUS,Dentist,PeriodontalDisease
DENTAL DECAY,Dentist,DentalCaries
DENTAL FILLING FAILURE,Dentist,DentalDisordersOther
DENTAL FLUOROSIS,Dentist,DentalDisordersOther
DENTAL IMPACTION,Dentist,ToothFracturesOrTrauma
DENTAL PHOBIA,Psychiatrist,PsychiatryOther
DENTAL PULPITIS,Dentist,DentalCaries
DENTAL STAIN,Dentist,DentalDisordersOther
DENTIGEROUS CYST,Dentist,DentalCaries
DEPRESSION-RELATED BOWEL DYSFUNCTION,Gastroenterologist,IBS
DEPRESSION-RELATED COGNITIVE IMPAIRMENT,Neurologist,CognitiveImpairment
DEPRESSION-RELATED GASTROINTESTINAL SYMPTOMS,Gastroenterologist,GastroenterologyOther
DERMATITIS,Dermatologist,Dermatitis
DERMATOFIBROSARCOMA PROTUBERANS,Dermatologist,DermatologyConditionsOther
DERMATOGRAPHIA,Dermatologist,Hives
DETRUSOR OVERACTIVITY,Urologist,Incontinence
DEVELOPMENTAL COORDINATION DISORDER (DCD),Pediatrician,PediatricGrowthAndDevelopmentalDelays
DIABETES TYPE 2,Endocrinologist,DiabetesMellitus
DIABETES-RELATED LIVER DISEASE,Gastroenterologist,LiverConditons
DIABETES-RELATED NEUROPATHY,Neurologist,Neuropathy
DIABETIC AUTONOMIC NEUROPATHY,Neurologist,Neuropathy
DIABETIC PERIPHERAL NEUROPATHY,Neurologist,Neuropathy
DIABETIC ULCER,Dermatologist,DermatologyConditionsOther
DIAPHRAGM IRRITATION,Pulmonologist,PulmonologyOther
DIETARY-INDUCED ACNE,Dermatologist,Acne
DIGESTIVE ISSUES,Gastroenterologist,GastroenterologyOther
DIMINISHED OVARIAN RESERVE,Gynecologist,Menopause
DIMINISHED OVARIAN RESERVE (DOR),Gynecologist,Menopause
DISEASE 2,Generalist,Generalist
DISEASE 3,Generalist,Generalist
DISEASE 3 (X% PROBABILITY) : A ONE LINE BRIEF DESCRIPTION OF DISEASE 3.,Generalist,Generalist
DISLOCATED JAW,Otolaryngologist,TemporomandibularJointDisordersDental
DRAGON SYNDROME,Generalist,Generalist
DRUG ERUPTION,Dermatologist,AdverseReactionToMedication
DRUG SIDE EFFECTS,AdverseReactionSpecialist,AdverseReactionToMedication
DRUG-DRUG INTERACTIONS,AdverseReactionSpecialist,AdverseReactionToMedication
DRUG-INDUCED FEVER,AdverseReactionSpecialist,AdverseReactionToMedication
DRUG-INDUCED GASTROINTESTINAL SIDE EFFECTS,AdverseReactionSpecialist,AdverseReactionToMedication
DRUG-INDUCED HEPATITIS,AdverseReactionSpecialist,AdverseReactionToMedication
DRUG-INDUCED LUPUS,AdverseReactionSpecialist,AdverseReactionToMedication
DRUG-INDUCED NEUTROPENIA,AdverseReactionSpecialist,AdverseReactionToMedication
DRUG-INDUCED SKIN REACTION,AdverseReactionSpecialist,AdverseReactionToMedication
DRY AIR OR IRRITATION,Dermatologist,DermatologyConditionsOther
DRY AIR-INDUCED NASAL BLEEDING,Otolaryngologist,OtolaryngologyOther
DRY AIR-INDUCED NOSEBLEEDS,Otolaryngologist,OtolaryngologyOther
DRY AND BRITTLE HAIR,Dermatologist,DermatologyConditionsOther
DRY EYE SYNDROME (DES),Ophthalmologist,OphthalmologyOther
DRY HAIR SYNDROME,Dermatologist,DermatologyConditionsOther
DUBIN-JOHNSON SYNDROME,Gastroenterologist,LiverConditons
DUODENAL ULCER,Gastroenterologist,PepticUlcers
DYSGEUSIA (ALTERED TASTE),Otolaryngologist,OtolaryngologyOther
DYSGRAPHIA,Neurologist,NeurologyConditionsOther
EAR CANAL INFECTION,InfectiousDiseaseSpecialist,EarInfections
EARDRUM PERFORATION,Otolaryngologist,OtolaryngologyOther
EARLY LABOR,Obstetrician,PregnancyConditions
EARLY PERIOD,Gynecologist,Menstrual Conditions
EARLY PREGNANCY BLEEDING,Obstetrician,PregnancyConditions
EARLY PREGNANCY COMPLICATIONS,Obstetrician,PregnancyConditions
EARWORMS,Otolaryngologist,EarInfections
ECZEMA (ATOPIC DERMATITIS),Dermatologist,Eczema
ELBOW CONTUSION,Orthopedist,BruiseorContusion
ELBOW INSTABILITY,Orthopedist,SprainsAndStrains
EMOTIONAL EATING DISORDER,Psychiatrist,EatingDisorders
EMOTIONAL NUMBNESS,Psychiatrist,Depression
ENDOMETRIAL POLYP,Gynecologist,GynecologyOther
ENDOMETRIOMA,Gynecologist,GynecologyOther
ENLARGED LIVER,Gastroenterologist,LiverConditons
ENVIRONMENTAL ACNE,Dermatologist,Acne
ENVIRONMENTAL DAMAGE,Generalist,Generalist
ENVIRONMENTAL EXPOSURE,Generalist,Generalist
ENVIRONMENTAL SENSITIVITY,Generalist,Generalist
EOSINOPHILIC PNEUMONIA,Pulmonologist,Pneumonia
EPIDERMOID CYSTS,Dermatologist,SkinLesionNos
EPILEPTIC SEIZURE,Neurologist,SeizureorSeizureDisorder
EPIPHORA,Ophthalmologist,OphthalmologyOther
EPIRETINAL MEMBRANE,Ophthalmologist,RetinalCondition
EPISTAXIS (NOSEBLEED),Otolaryngologist,OtolaryngologyOther
EPULIS,Dentist,PeriodontalDisease
ERYTHEMA MIGRANS (LYME DISEASE),InfectiousDiseaseSpecialist,LymeDisease
ESOPHAGEAL MOTILITY DISORDER,Gastroenterologist,GastrointestinalMotilityDisorders
ESSENTIAL TREMOR (ET),Neurologist,EssentialTremor
EVAPORATION LINE,Generalist,Generalist
EXACERBATION OF COPD,Pulmonologist,ChronicObstructivePulmonaryDisease
EXCESSIVE EXERCISE,Generalist,Generalist
EXCESSIVE WATER INTAKE,Generalist,Generalist
EXECUTIVE FUNCTION DISORDER (EFD),Psychiatrist,CognitiveImpairment
EXECUTIVE FUNCTIONING DISORDER (EFD),Psychiatrist,CognitiveImpairment
EXERCISE-INDUCED ABDOMINAL PAIN,Gastroenterologist,GastroenterologyOther
EXERCISE-INDUCED BRONCHOSPASM,Pulmonologist,Asthma
EXERCISE-INDUCED HYPOGLYCEMIA,Endocrinologist,Hypoglycemia
EXERCISE-INDUCED LARYNGEAL OBSTRUCTION (EILO),Otolaryngologist,OtolaryngologyOther
EXERCISE-INDUCED MUSCLE CRAMPS,Orthopedist,SprainsAndStrains
EXERCISE-INDUCED MUSCLE DAMAGE,Orthopedist,SprainsAndStrains
EXERCISE-INDUCED MUSCLE SORENESS,Orthopedist,SprainsAndStrains
EXERCISE-INDUCED MUSCLE TWITCHING,Neurologist,Neuropathy
EXERCISE-INDUCED NAUSEA AND VOMITING,Gastroenterologist,Vomiting
EXERCISE-INDUCED RHINITIS,Otolaryngologist,Rhinitis
EXERCISE-INDUCED SYNCOPE,CardiovascularSpecialist,Syncope
EXERCISE-INDUCED VASCULITIS,Rheumatologist,Vasculitis
EXISTENTIAL CRISIS,Psychiatrist,PsychiatryOther
EXOGENOUS OCHRONOSIS,Dermatologist,DermatologyConditionsOther
EXOSTOSIS,Orthopedist,OrthopedicConditionsOther
EXPLODING HEAD SYNDROME,Neurologist,InsomniaAndOtherSleepDisorders
EYE MUSCLE STRAIN,Ophthalmologist,OphthalmologyOther
EYEBROW DANDRUFF,Dermatologist,SeborrheicDermatitis
EYEBROW FOLLICULITIS,Dermatologist,SkinInfections
EYELID CYST,Ophthalmologist,EyelidCondition
EYELID TWITCH,Ophthalmologist,EyelidCondition
FACIAL CELLULITIS,Dermatologist,SkinInfections
FACIAL FRACTURE,Orthopedist,Fractures
FACIAL MUSCLE ATROPHY,Dermatologist,DermatologyConditionsOther
FACIAL TIC DISORDER,Neurologist,TouretteSyndrome
FAILED BACK SURGERY SYNDROME,Orthopedist,BackPain
FAILED MEDICAL ABORTION,Obstetrician,PregnancyConditions
FAILED ROOT CANAL,Dentist,DentalDisordersOther
FALSE NEGATIVE PREGNANCY TEST,Obstetrician,PregnancyConditions
FALSE POSITIVE HIV TEST,InfectiousDiseaseSpecialist,HIV_AIDS
FALSE POSITIVE RESULT,Generalist,Generalist
FAMILIAL HYPERTRIGLYCERIDEMIA,Endocrinologist,Hyperlipidemia
FAMILIAL TREMOR,Neurologist,NeurologyConditionsOther
FANCONI ANEMIA,Hematologist,Anemia
FATIGUE DUE TO LACK OF SLEEP,Generalist,InsomniaAndOtherSleepDisorders
FATIGUE-RELATED SYMPTOMS,Generalist,Generalist
FATIGUE/EXHAUSTION,Generalist,Generalist
FEMORAL NERVE ENTRAPMENT,Orthopedist,Neuropathy
FEMORAL NERVE IMPINGEMENT,Orthopedist,Neuropathy
FEMOROACETABULAR IMPINGEMENT,Orthopedist,Neuropathy
FETAL DISTRESS,Obstetrician,PregnancyConditions
FETAL GROWTH RESTRICTION,Obstetrician,PregnancyConditions
FETISHISTIC DISORDER,Psychiatrist,PsychiatryOther
FINANCIAL STRESS,Psychiatrist,AnxietyDisorders
FISH ALLERGY,Allergist,AllergicRhinitis
FISTULA-IN-ANO,Gastroenterologist,AnalandRectalConditions
FLATFOOT,Orthopedist,OrthopedicConditionsOther
FOCAL HAND DYSTONIA,Neurologist,NeurologyConditionsOther
FOCAL SEGMENTAL GLOMERULOSCLEROSIS,RenalSpecialist,Glomerulonephritis
FOLATE DEFICIENCY,Generalist,Generalist
FOOD ADDICTION,Psychiatrist,EatingDisorders
FOOD ALLERGY OR SENSITIVITY,Allergist,AllergicReaction
FOOD AVERSION,Psychiatrist,EatingDisorders
FOOD COLORING INGESTION,Generalist,Generalist
FOOD IMPACTION,Gastroenterologist,GastrointestinalStrictures
FOOD INTOLERANCE/ALLERGY,Allergist,AllergicReaction
FOOD INTOLERANCES,AdverseReactionSpecialist,AdverseReactionToAnotherSubstance
FOOD SENSITIVITIES,Generalist,Generalist
FOOD SENSITIVITY/INTOLERANCE,Generalist,Generalist
FOREARM STRAIN,Orthopedist,SprainsAndStrains
FOREARM TENDINITIS,Orthopedist,Tendonitis
FOREIGN BODY IN THE THROAT,Otolaryngologist,OtolaryngologyOther
FORESKIN TEAR,Urologist,UrologyMenOther
FORGOTTEN TAMPON,Gynecologist,GynecologyOther
FORMULA INTOLERANCE,Pediatrician,AdverseReactionToAnotherSubstance
FRACTURED ARM,Orthopedist,Fractures
FRACTURED FEMUR,Orthopedist,Fractures
FRACTURED LEG,Orthopedist,Fractures
FRACTURED OR BROKEN ARM,Orthopedist,Fractures
FRACTURED OR BROKEN KNUCKLE,Orthopedist,Fractures
FRACTURED OR BROKEN LEG,Orthopedist,Fractures
FRACTURED PINKY TOE,Orthopedist,Fractures
FRACTURED THUMB,Orthopedist,Fractures
FRACTURED TIBIA,Orthopedist,Fractures
FRENULAR CYST,Urologist,UrologyMenOther
FRENULAR TEAR,Urologist,UrologyMenOther
FRENULUM INFECTION,Urologist,UrologyMenOther
FRENULUM INFLAMMATION,Urologist,UrologyMenOther
FRENULUM SCARRING,Urologist,UrologyMenOther
FRICTION INJURY,Generalist,Generalist
FRICTION OR TRAUMA,Generalist,Generalist
FRICTION-RELATED IRRITATION,Generalist,Generalist
FUNCTIONAL GASTROINTESTINAL DISORDER,Gastroenterologist,IBS
FUNGAL FOLLICULITIS,Dermatologist,FungalInfections
FUNGAL SCALP INFECTION,Dermatologist,FungalInfections
GALLBLADDER DYSFUNCTION,Gastroenterologist,BiliaryIssues
GALLBLADDER INFECTION,InfectiousDiseaseSpecialist,BacterialInfections
GALLBLADDER STONES,Gastroenterologist,Gallstones
GALLSTONE COMPLICATIONS,Gastroenterologist,Gallstones
GALLSTONE ILEUS,Gastroenterologist,Gallstones
GANGLION CYST RECURRENCE,Orthopedist,OrthopedicConditionsOther
GANGLION CYSTS,Orthopedist,OrthopedicConditionsOther
GAS AND BLOATING,Gastroenterologist,IBS
GAS OR BLOATING,Gastroenterologist,IBS
GASTRIC DISTRESS,Gastroenterologist,GastrointestinalMotilityDisorders
GASTRIC IRRITATION,Gastroenterologist,GastrointestinalMotilityDisorders
GASTRIC ULCERS,Gastroenterologist,PepticUlcers
GASTROCNEMIUS STRAIN,Orthopedist,SprainsAndStrains
GASTROCNEMIUS TENDINITIS,Orthopedist,Tendonitis
GASTROINTESTINAL (GI) CANCER,Gastroenterologist,Cancer_GIother
GASTROINTESTINAL (GI) DISORDER,Gastroenterologist,GastrointestinalMotilityDisorders
GASTROINTESTINAL BLOATING,Gastroenterologist,IBS
GASTROINTESTINAL DYSMOTILITY,Gastroenterologist,GastrointestinalMotilityDisorders
GASTROINTESTINAL MOTILITY DISORDER,Gastroenterologist,GastrointestinalMotilityDisorders
GASTROINTESTINAL PARASITIC INFECTION,InfectiousDiseaseSpecialist,ParasiticInfections
GASTROINTESTINAL PERFORATION,Gastroenterologist,GastroenterologyOther
GASTROINTESTINAL SIDE EFFECTS OF METFORMIN,Endocrinologist,DiabetesMellitus
GASTROINTESTINAL TUMOR,Gastroenterologist,Cancer_GIother
GELASTIC SEIZURES,Neurologist,SeizureorSeizureDisorder
GENERAL WEAKNESS,Generalist,Generalist
GENERALIZED FATIGUE,Generalist,Generalist
GENERALIZED HYPERHIDROSIS,Dermatologist,DermatologyConditionsOther
GENERALIZED VIRAL INFECTION,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
GENETIC MUTATION,Generalist,Generalist
GENITAL CYST,Urologist,UrologyOther
GENITAL HERPES (HSV-2),Dermatologist,STIs
GENITAL PSORIASIS,Dermatologist,Psoriasis
GENITAL TRAUMA,Urologist,UrologyOther
GENITAL WARTS (HPV INFECTION),Gynecologist,SexuallyTransmittedInfections(STI)
GENU VARUM,Orthopedist,OrthopedicConditionsOther
GERMOPHOBIA,Psychiatrist,ObsessiveCompulsiveDisorder
GESTATIONAL TROPHOBLASTIC DISEASE,Obstetrician,PregnancyConditions
GILBERT'S SYNDROME:,Gastroenterologist,LiverConditons
GINGIVAL ABSCESS,Dentist,OralInfections
GINGIVAL CYST,Otolaryngologist,OralLesions
GINGIVAL HYPERPLASIA,Dentist,PeriodontalDisease
GLENOHUMERAL OSTEOARTHRITIS,Orthopedist,Osteoarthritis
GLOBAL DEVELOPMENTAL DELAY,Pediatrician,PediatricGrowthAndDevelopmentalDelays
GLOMERULONEPHRITIS (GN),RenalSpecialist,Glomerulonephritis
GLUTATHIONE SIDE EFFECTS,Generalist,Generalist
GRANULOMATOUS DISEASES,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
GRAVES DISEASE,Endocrinologist,ThyroidDisorders
GROIN PULL,Orthopedist,SprainsAndStrains
GROWTH PLATE INJURY,Orthopedist,Fractures
GUILLAIN-BARRE SYNDROME,Neurologist,NeurologyConditionsOther
GYNAECOMASTIA,Endocrinologist,Gynecomastia
HAEMORRHOIDS,Gastroenterologist,Hemorrhoids
HAIR LOSS,Dermatologist,Alopecia
HAMSTRING TENDINOPATHY,Orthopedist,Tendonitis
HANGOVER HEADACHE,Generalist,HeadacheOther
HEALING PROCESS,Generalist,Generalist
HEALTH ANXIETY,Psychiatrist,AnxietyDisorders
HEARING IMPAIRMENT,Otolaryngologist,HearingLoss
HEARING LOSS,Otolaryngologist,HearingLoss
HEART ARRHYTHMIA,CardiovascularSpecialist,Arrhythmias
HEART BLOCK,CardiovascularSpecialist,Arrhythmias
HEART FAILURE EXACERBATION,CardiovascularSpecialist,CongestiveHeartFailure
HEAT EXPOSURE,Generalist,Generalist
HEAT-INDUCED HEADACHE,Neurologist,HeadacheOther
HEATSTROKE,Generalist,Generalist
HEEL BRUISE,Orthopedist,BruiseorContusion
HELIX PIERCING INFECTION,Dermatologist,SkinInfections
HEMARTHROSIS,Orthopedist,OrthopedicConditionsOther
HEMOLYTIC JAUNDICE,Hematologist,HematologyOther
HEMOLYTIC UREMIC SYNDROME,RenalSpecialist,RenalOther
HEMOLYTIC UREMIC SYNDROME (HUS),RenalSpecialist,RenalOther
HEMORRHAGIC CYST,Urologist,UrologyOther
HEMORRHAGIC STROKE,Neurologist,Stroke
HEPATIC ADENOMA,Gastroenterologist,LiverConditons
HEPATIC CYSTS,Gastroenterologist,LiverConditons
HEPATOCELLULAR CARCINOMA,Generalist,Cancer_GIother
HEREDITARY ANGIOEDEMA,Generalist,Hives
HEREDITARY HEMORRHAGIC TELANGIECTASIA (HHT),CardiovascularSpecialist,CongenitalHeartDefects
HEREDITARY SPHEROCYTOSIS,Hematologist,Anemia
HERPES OUTBREAK,Dermatologist,STIs
HERPES SIMPLEX VIRUS (COLD SORES),Dermatologist,OralInfections
HERPETIC STOMATITIS,Otolaryngologist,OralInfections
HIGH ALTITUDE PULMONARY EDEMA (HAPE),Pulmonologist,PulmonologyOther
HIGH METABOLIC RATE,Endocrinologist,EndocrinologyOther
HIP ADDUCTOR TEAR,Orthopedist,SprainsAndStrains
HIP ARTHRITIS,Rheumatologist,OsteoarthritisRheumatology
HIP JOINT ARTHRITIS,Rheumatologist,OsteoarthritisRheumatology
HIV-RELATED COMPLICATIONS,InfectiousDiseaseSpecialist,HIV_AIDS
HORMONAL BREAST PAIN,Gynecologist,BreastChanges
HORMONAL IMBALANCE DUE TO PUBERTY,Endocrinologist,EndocrinologyOther
HORMONAL IMBALANCE DUE TO WEIGHT GAIN,Endocrinologist,Obesity
HYDROSALPINX,Gynecologist,GynecologyOther
HYMEN TEAR,Gynecologist,GynecologyOther
HYPERGLYCEMIC HYPEROSMOLAR SYNDROME,Endocrinologist,EndocrinologyOther
HYPERMETABOLISM,Endocrinologist,MetabolicSyndrome
HYPERMOBILITY SPECTRUM DISORDER (HSD),Rheumatologist,RheumatologyOther
HYPERPIGMENTATION DUE TO SUN DAMAGE,Dermatologist,DermatologyConditionsOther
HYPERSENSITIVITY DISORDER,Psychiatrist,PsychiatryOther
HYPERSENSITIVITY REACTION,Psychiatrist,PsychiatryOther
HYPERTENSION HEADACHE,Neurologist,Hypertension
HYPERTENSION-RELATED HEADACHE,Neurologist,Hypertension
HYPERTENSION-RELATED SYMPTOMS,Generalist,Hypertension
HYPERVITAMINOSIS D,Endocrinologist,EndocrinologyOther
HYPODONTIA,Dentist,DentalDisordersOther
HYPOGEUSIA,Neurologist,NeurologyConditionsOther
HYPOGLOSSAL NERVE PALSY,Neurologist,Neuropathy
HYPOMANIA,Psychiatrist,BipolarDisorder
HYPONATREMIA (LOW SODIUM LEVELS),RenalSpecialist,ElectrolyteDisorders
HYPOTHYROID MYOPATHY,Endocrinologist,ThyroidDisorders
IDIOPATHIC AZOOSPERMIA,Urologist,UrologyMenOther
IDIOPATHIC CENTRAL PRECOCIOUS PUBERTY,Endocrinologist,PituitaryGlandDisorders
IDIOPATHIC GENERALIZED EPILEPSY,Neurologist,Epilepsy
IDIOPATHIC HICCUPS,Generalist,Generalist
IDIOPATHIC HYPERANDROGENISM,Endocrinologist,EndocrinologyOther
IDIOPATHIC PULMONARY FIBROSIS,Pulmonologist,PulmonologyOther
IGG4-RELATED DISEASE,Rheumatologist,ImmunodeficiencyCondition
ILLNESS ANXIETY DISORDER,Psychiatrist,AnxietyDisorders
IMMUNE DEFICIENCY,InfectiousDiseaseSpecialist,ImmunodeficiencyCondition
IMMUNE SYSTEM DISORDER,Generalist,ImmunodeficiencyCondition
IMMUNE SYSTEM DYSFUNCTION,Rheumatologist,ImmunodeficiencyCondition
IMMUNODEFICIENCY DISORDER,InfectiousDiseaseSpecialist,ImmunodeficiencyCondition
IMPACTED TOOTH,Dentist,DentalDisordersOther
IMPERFORATE HYMEN,Gynecologist,GynecologyOther
IMPULSE CONTROL DISORDER,Psychiatrist,PsychiatryOther
INADEQUATE CALORIE INTAKE,Generalist,Generalist
INCORRECT PRESCRIPTION,Generalist,Generalist
INCREASED FLUID INTAKE,Generalist,Generalist
INCREASED SEXUAL DESIRE,Generalist,SexualFunctionConditions
INCREASED VAGINAL DISCHARGE,Gynecologist,VaginalInfections
INDURATION OF THE CORPORA CAVERNOSA,Urologist,UrologyMenOther
INDURATION OF THE PENIS,Urologist,UrologyMenOther
INFANT CONSTIPATION,Gastroenterologist,GastrointestinalMotilityDisorders
INFANTILE ACNE,Dermatologist,Acne
INFECTED CYST,Dermatologist,DermatologyConditionsOther
INFECTED EAR PIERCING,Dermatologist,EarInfections
INFECTIOUS CORYZA,InfectiousDiseaseSpecialist,RespiratoryTractInfections-upper-viral
INFECTIVE ENDOCARDITIS,CardiovascularSpecialist,ValvularHeartDisease
INFLAMMATION,Generalist,Generalist
INFLAMMATORY REACTION,Generalist,Generalist
INFLAMMATORY SKIN CONDITION,Dermatologist,Rash
INFLUENZA B,InfectiousDiseaseSpecialist,Influenza
INGROWN TOENAIL RECURRENCE,Dermatologist,DermatologyConditionsOther
INNER EAR DISORDERS,Otolaryngologist,HearingLoss
INSOMNIA-RELATED FATIGUE,Psychiatrist,InsomniaAndOtherSleepDisorders
INSUFFICIENT BREAST MILK SUPPLY,Obstetrician,PregnancyConditions
INSUFFICIENT FIBER INTAKE,Generalist,Generalist
INSUFFICIENT PROTEIN INTAKE,Generalist,Generalist
INTELLECTUAL DISABILITY,Generalist,Generalist
INTERNET GAMING DISORDER,Psychiatrist,PsychiatryOther
INTERSTITIAL NEPHRITIS,RenalSpecialist,InterstitialNephritis
INTESTINAL PARASITES,Gastroenterologist,ParasiticInfections
INTESTINAL WORM INFECTION,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
INTRACRANIAL HEMORRHAGE,Neurologist,Stroke
INTRACRANIAL HYPERTENSION,Neurologist,NeurologyConditionsOther
INVASIVE DUCTAL CARCINOMA (BREAST CANCER),Generalist,Breast Conditions
IRON OVERLOAD DISORDER,Hematologist,HematologyOther
IRREGULAR PERIOD,Gynecologist,Menstrual Conditions
IRRITABLE BOWEL SYNDROME WITH CONSTIPATION,Gastroenterologist,IBS
IRRITANT VULVITIS,Gynecologist,Vulvitis
IRRITANT-INDUCED PHARYNGITIS,Otolaryngologist,PharygitisNOS
IRRITATED SKIN,Dermatologist,Dermatitis
IRRITATION FROM FRICTION OR MOISTURE,Dermatologist,Dermatitis
IRRITATION OR ABRASION,Dermatologist,DermatologyConditionsOther
IRRITATION OR INFECTION,Dermatologist,SkinInfections
ISOTRETINOIN SIDE EFFECTS,Dermatologist,AdverseReactionToMedication
IT BAND SYNDROME (ITBS),Orthopedist,Tendonitis
JAW DISLOCATION,Orthopedist,OrthopedicConditionsOther
JOINT INFLAMMATION,Rheumatologist,RheumatoidArthritis
JOINT INSTABILITY,Orthopedist,SprainsAndStrains
JUVENILE MYOCLONIC EPILEPSY,Neurologist,Epilepsy
KAPOSI'S SARCOMA,Dermatologist,DermatologyConditionsOther
KAWASAKI DISEASE,Pediatrician,PediatricKawasakiDisease
KETAMINE-INDUCED CYSTITIS,Urologist,InterstitialCystitis
KIDNEY CONTUSION,RenalSpecialist,BruiseorContusion
KIDNEY INJURY,RenalSpecialist,AcuteKidneyInjury
KLIPPEL-FEIL SYNDROME,Orthopedist,OrthopedicConditionsOther
KNEE LIGAMENT INJURY,Orthopedist,Knee Conditions
KOILONYCHIA,Dermatologist,DermatologyConditionsOther
LACK OF EXERCISE AND POOR DIET,Generalist,Generalist
LACK OF FLEXIBILITY,Orthopedist,OrthopedicConditionsOther
LACK OF PROPER SKINCARE ROUTINE,Dermatologist,DermatologyConditionsOther
LACTIC ACIDOSIS,RenalSpecialist,Acidosis
LANGUAGE DISORDER,Psychiatrist,PsychiatryOther
LATE OVULATION OR ANOVULATION,Gynecologist,Menstrual Conditions
LATENT AUTOIMMUNE DIABETES IN ADULTS (LADA),Endocrinologist,DiabetesMellitus
LATERAL COLLATERAL LIGAMENT (LCL) SPRAIN,Orthopedist,Knee Conditions
LEAD POISONING,Hematologist,HematologyOther
LEARNING DISABILITY (LD),Generalist,Generalist
LEFT VENTRICULAR HYPERTROPHY,CardiovascularSpecialist,Cardiomyopathy
LENTIGO MALIGNA,Dermatologist,SkinCancer
LEUKOARAIOSIS,Neurologist,NeurologyConditionsOther
LEUKOPENIA,Hematologist,HematologyOther
LIFESTYLE-RELATED ERECTILE DYSFUNCTION,Urologist,ErectileDysfunction
LIGAMENT STRAIN,Orthopedist,SprainsAndStrains
LINGUAL DYSTONIA,Neurologist,NeurologyConditionsOther
LINGUAL NERVE INJURY,Otolaryngologist,OtolaryngologyOther
LIP DERMATITIS,Dermatologist,Dermatitis
LIPEDEMA,Dermatologist,DermatologyConditionsOther
LIPOEDEMA,Dermatologist,DermatologyConditionsOther
LIPOMAS,Dermatologist,DermatologyConditionsOther
LIPOMASTIA,Dermatologist,BreastChanges
LIVER CYST,Gastroenterologist,LiverConditons
LIVER HEMANGIOMA,Gastroenterologist,LiverConditons
LIVER TUMOR,Gastroenterologist,LiverConditons
LOCALIZED SKIN IRRITATION,Dermatologist,Dermatitis
LONG COVID,InfectiousDiseaseSpecialist,COVID_19
LOSS OF APPETITE,Generalist,Generalist
LUDWIG'S ANGINA,InfectiousDiseaseSpecialist,InfectiousDiseasesOther
LUNG ABSCESS,Pulmonologist,RespiratoryTractInfections
LYMPHATIC FILARIASIS,InfectiousDiseaseSpecialist,ParasiticInfections
LYMPHOGRANULOMA VENEREUM,InfectiousDiseaseSpecialist,STIs
LYMPHORRHEA,Dermatologist,DermatologyConditionsOther
MACULAR HOLE,Ophthalmologist,RetinalCondition
MACULAR PUCKER,Ophthalmologist,RetinalCondition
MAGNESIUM OVERDOSE,AdverseReactionSpecialist,AdverseReactionToMedication
MALABSORPTION DISORDERS,Gastroenterologist,MalabsorptionSyndromes
MALADAPTIVE DAYDREAMING,Psychiatrist,PsychiatryOther
MALIGNANCY,Generalist,Generalist
MARIJUANA USE,SubstanceUseDisorderSpecialist,SubstanceUseOther
MAST CELL ACTIVATION SYNDROME (MCAS),Hematologist,HematologyOther
MASTALGIA (BREAST PAIN),Gynecologist,Breast Conditions
MASTURBATION ADDICTION,Psychiatrist,PsychiatryOther
MEATAL STENOSIS,Urologist,UrologyMenOther
MECHANICAL DAMAGE,Orthopedist,Fractures
MEDICATION OVERDOSE,AdverseReactionSpecialist,AdverseReactionToMedication
MEDICATION-INDUCED ESOPHAGITIS,Gastroenterologist,GERD
MEDICATION-INDUCED GASTROINTESTINAL SIDE EFFECTS,Gastroenterologist,AdverseReactionToMedication
MEDICATION-INDUCED HEMATURIA,Urologist,UrologyOther
MEDICATION-INDUCED HYPERPROLACTINEMIA,Endocrinologist,PituitaryGlandDisorders
MEDICATION-INDUCED LOW TSH,Endocrinologist,ThyroidDisorders
MEDICATION-INDUCED NEUROPATHY,Neurologist,Neuropathy
MEDICATION-INDUCED THROMBOCYTOPENIA,Hematologist,Thrombocytopenia
MEDICATION-INDUCED WEIGHT GAIN,Endocrinologist,AdverseReactionToMedication
MELANOMA RECURRENCE,Dermatologist,SkinCancer
MENSTRUAL-RELATED ABDOMINAL PAIN,Gynecologist,Menstrual Conditions
MENSTRUAL-RELATED DIARRHEA,Gastroenterologist,Menstrual Conditions
MENSTRUAL-RELATED ISSUE,Gynecologist,Menstrual Conditions
METABOLIC DISORDER,Endocrinologist,MetabolicSyndrome
METALLIC TASTE SYNDROME,Generalist,Generalist
METASTATIC COLON CANCER,Gastroenterologist,ColorectalCancer
METASTATIC LIVER CANCER,Generalist,Cancer_GIother
METASTATIC STOMACH CANCER,Gastroenterologist,Cancer_GIother
MICROMASTIA,Generalist,Generalist
MIGRAINE AURA,Neurologist,Migraine
MIGRAINE EXACERBATION,Neurologist,Migraine
MIGRAINE WITH VESTIBULAR SYMPTOMS,Neurologist,Migraine
